timestamp_us,value
23,1.971937
45,0.140451
68,-0.22515
91,0.249783
113,0.332923
136,-0.051933
159,-0.161543
181,0.070002
204,0.136469
227,-0.037545
248,-0.104879
272,-0.019977
295,0.027102
317,0.012933
340,0.023459
363,0.027386
385,-0.021623
408,-0.05083
431,-0.031439
454,-0.017516
476,-0.033341
499,-0.026144
522,0.010176
544,0.033573
567,0.029479
590,0.013217
612,-0.006084
635,-0.011477
658,0.014134
680,0.047086
703,0.042805
726,0.009278
748,-0.007766
771,0.003192
794,0.013195
816,0.012556
839,0.006896
862,-0.000267
884,-0.007729
907,-0.004863
930,0.007821
952,0.015405
975,0.021271
998,0.022779
1020,0.025793
1043,0.01928
1066,0.007418
1088,0.002452
1111,0.001828
1134,0.00591
1156,0.004602
1179,-0.003535
1202,-0.006092
1224,-0.007925
1247,-0.003639
1270,-0.001865
1293,0.001175
1315,-0.004547
1338,-0.013543
1361,-0.02053
1383,-0.019816
1406,-0.017194
1429,-0.021173
1451,-0.029126
1474,-0.030496
1497,-0.025087
1519,-0.017702
1542,-0.016184
1565,-0.020464
1587,-0.030793
1610,-0.032112
1633,-0.022603
1655,-0.00527
1678,0.003984
1701,0.003923
1723,-0.000571
1746,-0.00207
1769,0.000886
1791,0.000841
1814,-0.007686
1837,-0.014778
1859,-0.02071
1882,-0.020176
1905,-0.021502
1927,-0.023355
1950,-0.017548
1973,-0.002596
1994,0.016417
2017,0.027722
2040,0.021997
2063,0.005146
2086,-0.007493
2109,-0.01285
2132,-0.019644
2154,-0.029969
2177,-0.028444
2200,-0.008645
2222,0.008396
2245,0.007173
2268,-0.003036
2290,-0.006067
2313,-0.00733
2336,-0.007791
2358,-0.007426
2381,-0.003815
2404,-0.00368
2426,-0.015037
2449,-0.01968
2472,-0.014699
2494,-0.007601
2517,-0.011141
2540,-0.015642
2562,-0.008774
2585,-0.001211
2608,-0.004328
2630,-0.010916
2653,-0.006764
2676,-0.000271
2698,-0.001618
2721,-0.009204
